job title,languages,age,location,salary,salary_category,genders
Technology Sales,Swift,30,Bataan,27425,Junior,Male
IT Sales Executive,HTML/CSS,25,Masbate,34028,Junior,Male
Software Development,Python,34,Zamboanga del Sur,78662,Senior,Nonbinary
Network Engineering,Python,42,Davao Occidental,69732,Mid Level,Male
IT Analysis,JavaScript,43,Ilocos Norte,68091,Mid Level,Female
IT Analysis,JavaScript,41,Abra,62199,Mid Level,Male
Computer Support,JavaScript,30,Dinagat Islands,27717,Junior,Male
Cloud Engineering,SQL,42,Sultan Kudarat,61589,Mid Level,Female
Network Engineering,Python,38,Tarlac,49336,Mid Level,Male
Software Development,R,28,Davao del Sur,99150,Senior,Nonbinary
Computer Support,JavaScript,30,Cagayan,31071,Junior,Male
Web Designer,HTML/CSS,22,Isabela,32634,Junior,Male
Cloud Engineering,JavaScript,36,Tarlac,94730,Senior,Male
IT Analysis,SQL,42,Bataan,52298,Mid Level,Female
IT Analysis,JavaScript,36,Bukidnon,42475,Mid Level,Male
IT Analysis,Java,43,Davao Oriental,41940,Mid Level,Male
Web Development,Java,30,Batangas,53821,Mid Level,Nonbinarys
Database Administration,JavaScript,58,Palawan,58381,Mid Level,Male
Technology Sales,JavaScript,30,Capiz,40174,Mid Level,Male
Web Development,JavaScript,30,Agusan del Norte,55392,Mid Level,Male
Network Engineering,JavaScript,38,Ilocos Sur,79134,Senior,Female
Computer Support,SQL,30,Aklan,31285,Junior,Nonbinarys
Web Development,Swift,30,Palawan,34758,Junior,Female
Web Development,SQL,30,Sarangani,34096,Junior,Male
Information Security,Swift,61,Guimaras,68891,Mid Level,Female
Software Development,JavaScript,28,Davao del Norte,79378,Senior,Male
IT Analysis,Python,37,Davao del Sur,38639,Junior,Nonbinary
Information Security,HTML/CSS,56,Quirino,64183,Mid Level,Nonbinary
Network Engineering,JavaScript,40,Camarines Norte,37320,Junior,Female
Computer Support,SQL,30,Antique,19264,Entry Level,Female
Network Engineering,JavaScript,41,Cavite,79901,Senior,Male
IT Analysis,Python,42,Bulacan,42872,Mid Level,Male
Computer Support,Java,30,Agusan del Sur,30849,Junior,Male
IT Sales Executive,Python,26,Surigao del Sur,52302,Mid Level,Female
Web Designer,Java,23,Ilocos Sur,46921,Mid Level,Female
Software Development,Java,30,Ilocos Norte,73645,Senior,Female
Web Development,Swift,30,Maguindanao del Norte,26062,Junior,Female
Computer Support,SQL,30,Southern Leyte,22627,Junior,Female
Software Development,Ruby,34,Zamboanga del Sur,71117,Senior,Male
Technology Sales,Java,30,Ifugao,23710,Junior,Female
Computer Support,JavaScript,30,Agusan del Norte,27854,Junior,Male
Information Security,C++,56,Basilan,120985,Executive,Female
Computer Support,Ruby,30,Palawan,31431,Junior,Male
IT Sales Executive,JavaScript,29,Marinduque,45576,Mid Level,Nonbinary
Web Development,JavaScript,30,Sarangani,32743,Junior,Male
Network Engineering,JavaScript,44,Surigao del Sur,35349,Junior,Male
Web Development,Ruby,30,Sorsogon,37050,Junior,Male
Database Administration,Java,54,Bohol,53621,Mid Level,Male
Database Administration,JavaScript,47,Bukidnon,80555,Senior,Male
IT Analysis,Java,38,Maguindanao del Sur,55184,Mid Level,Male
Web Designer,SQL,19,Nueva Vizcaya,35246,Junior,Male
Software Development,Swift,33,Pampanga,40678,Mid Level,Male
IT Sales Executive,Ruby,28,Agusan del Sur,40752,Mid Level,Female
Helpdesk Manager,Swift,63,Bohol,59772,Mid Level,Female
Network Engineering,R,36,Capiz,38125,Junior,Nonbinary
IT Sales Executive,Swift,29,Capiz,34719,Junior,Female
Computer Support,R,30,Davao de Oro,22016,Junior,Female
